Sucursal,Asesor,Codigo Asesor,Cliente,Codigo Cliente,U.E.,Litros Empaque,Producto,Litros Potenciales
Maracaibo,Jose Urdaneta,45497,"CONGELADOS Y FRESCOS MARINOS, C.A",76939,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"57,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,"57,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,3x1,"11,355",BIO MATIC AUTOMATIC TRANSMISSION FLUID DEXRON III H,"57,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,Paila,19,ECO GREASE COMPLEX HT-EP,"19,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.248,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"1.040,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"416,00"
Maracaibo,Elsio Romero,93031,"SERVICIOS Y CONSTRUCTORA ALIADAS, C.A",78788,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5 SAE 85W140,"624,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Bidon,"20,000",CAR MINE  HEAVY DUTY COOLANT,"120,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"38,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5 SAE 85W140,"38,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Paila,19,ECO GREASE COMPLEX HT-EP,"38,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Tambor,208,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,"208,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"416,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"416,00"
Maracaibo,Elsio Romero,93031,"AGROPECUARIA NIVAR, C.A.",20872,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Maracaibo,Elsio Romero,93031,"AVICOLA LA ROSITA, S.A (AVIROSA)",30308,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"416,00"
Maracaibo,Elsio Romero,93031,"AVICOLA LA ROSITA, S.A (AVIROSA)",30308,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"1.664,00"
Maracaibo,Elsio Romero,93031,CARBONERA DE NEGOCIOS VENEZOLANOS C.A.,38565,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"208,00"
